20:a6:cd:8e:9d:c0,20:a6:cd:8e:9d:c1,20:a6:cd:8e:9d:d0,20:a6:cd:8e:9d:d1,20:a6:cd:8e:a0:c0,20:a6:cd:8e:a0:c1,20:a6:cd:8e:a0:d1,20:a6:cd:8e:b0:60,20:a6:cd:8e:b0:61,20:a6:cd:90:b7:c0,20:a6:cd:90:b7:c1,20:a6:cd:90:b7:d0,20:a6:cd:90:b7:d1,20:a6:cd:90:e0:40,20:a6:cd:90:e0:41,20:a6:cd:90:e0:50,20:a6:cd:90:e0:51,24:f2:7f:ac:c7:81,24:f2:7f:ac:c7:b0,24:f2:7f:ac:c7:b1,24:f2:7f:ac:d1:20,24:f2:7f:ac:d1:21,24:f2:7f:ac:d1:30,24:f2:7f:ac:d1:31,24:f2:7f:ac:d4:40,24:f2:7f:ac:d4:41,24:f2:7f:ac:d4:50,24:f2:7f:ac:d4:51,24:f2:7f:ac:d4:e0,24:f2:7f:ac:d4:e1,24:f2:7f:ac:d4:f0,24:f2:7f:ac:d4:f1,24:f2:7f:ac:d7:60,24:f2:7f:ac:d7:61,24:f2:7f:ac:d7:70,24:f2:7f:ac:d7:71,34:fc:b9:14:a9:80,34:fc:b9:14:a9:81,34:fc:b9:14:a9:90,34:fc:b9:14:a9:91,34:fc:b9:14:ad:a0,34:fc:b9:14:ad:a1,34:fc:b9:14:af:a0,34:fc:b9:14:af:a1,34:fc:b9:14:af:b0,34:fc:b9:14:af:b1,34:fc:b9:14:b1:20,34:fc:b9:14:b1:21,34:fc:b9:14:b1:30,34:fc:b9:14:b1:31,34:fc:b9:14:b4:a0,34:fc:b9:14:b4:a1,34:fc:b9:14:b7:60,34:fc:b9:14:b7:61,34:fc:b9:14:b7:70,34:fc:b9:14:b7:71,34:fc:b9:14:b7:e0,34:fc:b9:14:b7:e1,34:fc:b9:e1:19:60,34:fc:b9:e1:19:61,34:fc:b9:e1:19:70,44:48:c1:7b:e7:40,44:48:c1:7b:e7:41,44:48:c1:7b:e7:50,44:48:c1:7b:e7:51,70:3a:0e:62:d7:20,70:3a:0e:62:d7:21,70:3a:0e:62:d7:30,70:3a:0e:62:d7:31,70:3a:0e:62:e0:40,70:3a:0e:62:e0:41,70:3a:0e:62:e0:50,70:3a:0e:62:e0:51,70:3a:0e:62:f2:a0,70:3a:0e:62:f2:a1,70:3a:0e:62:f2:b0,70:3a:0e:62:f2:b1,BuildingID,a8:bd:27:d0:a3:20,a8:bd:27:d0:a3:21,a8:bd:27:d0:a3:30,a8:bd:27:d0:a3:31,a8:bd:27:d0:cd:e0,a8:bd:27:d0:cd:e1,a8:bd:27:d0:e0:e0,a8:bd:27:d0:e0:e1,a8:bd:27:d0:e0:f0,a8:bd:27:d0:e0:f1,c8:b5:ad:4e:b3:20,c8:b5:ad:4e:b3:21,c8:b5:ad:4e:b3:30,c8:b5:ad:4e:b3:31,c8:b5:ad:4e:b9:80,c8:b5:ad:4e:b9:81,c8:b5:ad:4e:b9:90,c8:b5:ad:4e:b9:91,c8:b5:ad:4e:bb:40,c8:b5:ad:4e:bb:41,c8:b5:ad:4e:bb:50,c8:b5:ad:4e:bb:51,c8:b5:ad:72:3b:21,c8:b5:ad:ca:71:c0,c8:b5:ad:ca:71:c1,c8:b5:ad:ca:73:e0,c8:b5:ad:ca:73:e1,c8:b5:ad:ca:73:f0,c8:b5:ad:ca:73:f1,c8:b5:ad:ca:74:70,c8:b5:ad:ca:74:71,c8:b5:ad:ca:74:80,c8:b5:ad:ca:74:81,c8:b5:ad:ca:74:90,c8:b5:ad:ca:74:91,c8:b5:ad:ca:76:a0,c8:b5:ad:ca:76:a1,c8:b5:ad:ca:76:b0,c8:b5:ad:ca:76:b1,c8:b5:ad:ca:78:f0,c8:b5:ad:ca:78:f1,c8:b5:ad:ca:82:e0,c8:b5:ad:ca:82:e1,c8:b5:ad:ca:82:f0,c8:b5:ad:ca:82:f1,c8:b5:ad:ca:84:e0,c8:b5:ad:ca:84:e1,c8:b5:ad:ca:86:e0,c8:b5:ad:ca:86:e1,c8:b5:ad:ca:86:f0,c8:b5:ad:ca:86:f1,c8:b5:ad:e9:9c:e0,c8:b5:ad:e9:9c:e1
-78,-78,-84,-84,0,0,0,0,0,0,0,0,0,-61,-61,-57,-57,0,0,0,-65,-64,-54,-54,-69,0,-66,-66,-63,-63,-61,-61,-77,-77,-74,-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-63,-63,-62,-62,-55,-55,-39,-43,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86,-86
-78,-78,-84,-84,0,0,0,0,0,0,0,0,0,-61,-61,-57,-57,0,0,0,-65,-64,-54,-54,-69,0,-66,-66,-63,-63,-61,-61,-77,-77,-74,-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-63,-63,-62,-62,-55,-55,-39,-43,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86,-86
-78,-78,-84,-84,0,0,0,0,0,0,0,0,0,-61,-61,-57,-57,0,0,0,-65,-64,-54,-54,-69,0,-66,-66,-63,-63,-61,-61,-77,-77,-74,-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-63,-63,-62,-62,-55,-55,-39,-43,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86,-86
-78,-78,-84,-84,0,0,0,0,0,0,0,0,0,-61,-61,-57,-57,0,0,0,-65,-64,-54,-54,-69,0,-66,-66,-63,-63,-61,-61,-77,-77,-74,-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-63,-63,-62,-62,-55,-55,-39,-43,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86,-86
-78,-78,-84,-84,0,0,0,0,0,0,0,0,0,-61,-61,-57,-57,0,0,0,-65,-64,-54,-54,-69,0,-66,-66,-63,-63,-61,-61,-77,-77,-74,-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-63,-63,-62,-62,-55,-55,-39,-43,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86,-86
-78,-78,-84,-84,0,0,0,0,0,0,0,0,0,-61,-61,-57,-57,0,0,0,-65,-64,-54,-54,-69,0,-66,-66,-63,-63,-61,-61,-77,-77,-74,-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-63,-63,-62,-62,-55,-55,-39,-43,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86,-86
-78,-78,-84,-84,0,0,0,0,0,0,0,0,0,-61,-61,-57,-57,0,0,0,-65,-64,-54,-54,-69,0,-66,-66,-63,-63,-61,-61,-77,-77,-74,-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-63,-63,-62,-62,-55,-55,-39,-43,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86,-86
-78,-78,-84,-84,0,0,0,0,0,0,0,0,0,-61,-61,-57,-57,0,0,0,-65,-64,-54,-54,-69,0,-66,-66,-63,-63,-61,-61,-77,-77,-74,-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-63,-63,-62,-62,-55,-55,-39,-43,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86,-86
-78,-78,-84,-84,0,0,0,0,0,0,0,0,0,-61,-61,-57,-57,0,0,0,-65,-64,-54,-54,-69,0,-66,-66,-63,-63,-61,-61,-77,-77,-74,-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-63,-63,-62,-62,-55,-55,-39,-43,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86,-86
-78,-78,-84,-84,0,0,0,0,0,0,0,0,0,-61,-61,-57,-57,0,0,0,-65,-64,-54,-54,-69,0,-66,-66,-63,-63,-61,-61,-77,-77,-74,-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-63,-63,-62,-62,-55,-55,-39,-43,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86,-86
-78,-78,-84,-84,0,0,0,0,0,0,0,0,0,-61,-61,-57,-57,0,0,0,-65,-64,-54,-54,-69,0,-66,-66,-63,-63,-61,-61,-77,-77,-74,-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-63,-63,-62,-62,-55,-55,-39,-43,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86,-86
-78,-78,-84,-84,0,0,0,0,0,0,0,0,0,-61,-61,-57,-57,0,0,0,-65,-64,-54,-54,-69,0,-66,-66,-63,-63,-61,-61,-77,-77,-74,-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-63,-63,-62,-62,-55,-55,-39,-43,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86,-86
-78,-78,-84,-84,0,0,0,0,0,0,0,0,0,-61,-61,-57,-57,0,0,0,-65,-64,-54,-54,-69,0,-66,-66,-63,-63,-61,-61,-77,-77,-74,-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-63,-63,-62,-62,-55,-55,-36,-43,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86,-86
-78,-78,-84,-84,0,0,0,0,0,0,0,0,0,-61,-61,-57,-57,0,0,0,-65,-64,-54,-54,-69,0,-66,-66,-63,-63,-61,-61,-77,-77,-74,-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-63,-63,-62,-62,-55,-55,-36,-43,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86,-86
-78,-78,-84,-84,0,0,0,0,0,0,0,0,0,-61,-61,-57,-57,0,0,0,-65,-64,-54,-54,-69,0,-66,-66,-63,-63,-61,-61,-77,-77,-74,-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-63,-63,-62,-62,-55,-55,-36,-43,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86,-86
-78,-78,-84,-84,0,0,0,0,0,0,0,0,0,-61,-61,-57,-57,0,0,0,-65,-64,-54,-54,-69,0,-66,-66,-63,-63,-61,-61,-77,-77,-74,-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-63,-63,-62,-62,-55,-55,-36,-43,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86,-86
-78,-78,-84,-84,0,0,0,0,0,0,0,0,0,-61,-61,-57,-57,0,0,0,-65,-64,-54,-54,-69,0,-66,-66,-63,-63,-61,-61,-77,-77,-74,-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-63,-63,-62,-62,-55,-55,-36,-43,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86,-86
-78,-78,-84,-84,0,0,0,0,0,0,0,0,0,-61,-61,-57,-57,0,0,0,-65,-64,-54,-54,-69,0,-66,-66,-63,-63,-61,-61,-77,-77,-74,-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-63,-63,-62,-62,-55,-55,-36,-43,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86,-86
-78,-78,-84,-84,0,0,0,0,0,0,0,0,0,-61,-61,-57,-57,0,0,0,-65,-64,-54,-54,-69,0,-66,-66,-63,-63,-61,-61,-77,-77,-74,-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-63,-63,-62,-62,-55,-55,-36,-43,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86,-86
-78,-78,-84,-84,0,0,0,0,0,0,0,0,0,-61,-61,-57,-57,0,0,0,-65,-64,-54,-54,-69,0,-66,-66,-63,-63,-61,-61,-77,-77,-74,-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-63,-63,-62,-62,-55,-55,-36,-43,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86,-86
-78,-78,-84,-84,0,0,0,0,0,0,0,0,0,-61,-61,-57,-57,0,0,0,-65,-64,-54,-54,-69,0,-66,-66,-63,-63,-61,-61,-77,-77,-74,-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-63,-63,-62,-62,-55,-55,-36,-43,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86,-86
-78,-78,-84,-84,0,0,0,0,0,0,0,0,0,-61,-61,-57,-57,0,0,0,-65,-64,-54,-54,-69,0,-66,-66,-63,-63,-61,-61,-77,-77,-74,-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-63,-63,-62,-62,-55,-55,-36,-43,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86,-86
-78,-78,-84,-84,0,0,0,0,0,0,0,0,0,-61,-61,-57,-57,0,0,0,-65,-64,-54,-54,-69,0,-66,-66,-63,-63,-61,-61,-77,-77,-74,-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-63,-63,-62,-62,-55,-55,-36,-43,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86,-86
